cycle,t_feed,t_rinse,t_blow,t_purge,purity_H2,H2_CO_ratio,purity_CO2,recovery_CO2,productivity
0,680,265,130,80,66.63911838842976,2.087376700826447,87.78770857851242,88.77165438016526,3.894922929752067
1,680,265,130,80,66.61004379166666,2.168164221666666,89.78125133333336,94.01663712500003,4.117529932083334
2,680,265,130,80,66.4665052892562,2.1761042735537197,90.41800804132228,94.63139107438012,4.14065544710744
3,680,265,130,80,66.4066121083333,2.1855617608333335,90.61964723333337,94.87924325000002,4.151400427083335
4,680,187,130,90,66.38344071578949,2.18763324491228,90.69087214035085,94.92435477192987,4.153157370526314
5,680,187,130,90,68.09337688596491,2.3329686872807023,85.0748811403509,106.06023394736846,4.929406427192982
6,680,187,130,90,68.51798632743365,2.297503468584072,83.20507030973451,101.09945592920353,4.706708665929203
7,680,187,130,90,68.62294578947368,2.291022842105263,82.59427460526317,100.18209714035085,4.668067796929824
8,680,187,130,90,68.70283606140349,2.286047096929824,82.39661903508768,99.81968914035089,4.652172692105264
9,715,187,130,90,68.72163670427352,2.2845669030769225,82.32399618803417,99.72231363247863,4.647959216752138
10,715,187,130,90,68.41230437500003,2.264073892672414,82.76554347413793,97.83332601293104,4.6761180387931045
11,715,187,130,90,68.35010719230768,2.2673135153846147,82.95536352991452,98.433518974359,4.704030726495727
12,715,187,130,90,68.3189255762712,2.2678253826271186,83.02338398305089,98.56201432203396,4.709508497881356
13,715,187,130,90,68.3073292051282,2.2683782363247866,83.04745193162397,98.59906329059831,4.711151048290596
14,715,200,130,110,68.30260563333333,2.2685404653333325,83.05630573,98.61073149999999,4.711650652333333
15,715,200,130,110,68.0059508677686,2.2420449421487594,82.0929375,103.71547863636366,4.814503630991735
16,715,200,130,110,68.54996862499999,2.255947570000001,81.58265833333334,100.60620812500001,4.677946155833335
17,715,200,130,110,68.58315177685954,2.2541255037190093,81.36205657024793,100.2236131818182,4.660353619834711
18,715,200,130,110,68.65934175000002,2.2546331433333338,81.28846412500003,100.02741051666665,4.652173630416667
19,715,200,135,115,68.66888963934426,2.254450906557376,81.25753075409837,99.99422647868852,4.650730635081968
20,715,200,135,115,68.68061547107438,2.2544614537190095,80.80233834710742,101.41251056198347,4.676500651239669
21,715,200,135,115,68.7771628852459,2.2562088094262305,80.59881975409836,100.47900181967212,4.634828331147541
22,715,200,135,115,68.78894675206612,2.2556677747933884,80.52272231404959,100.31307246280993,4.627437952066116
23,715,200,135,115,68.8027235,2.255559137704919,80.49779728688524,100.25778475409837,4.6250740049180346
24,650,240,130,85,68.8051915826087,2.255460841565217,80.48855191652174,100.24530278260869,4.62452886921739
25,650,240,130,85,68.48145150862071,2.212118627155172,84.85886575431037,90.47876918103451,3.950416527155173
26,650,240,130,85,67.98345354347823,2.211523678695653,86.51483132608696,96.73980460869565,4.211513096956521
27,650,240,130,85,67.87187364224137,2.2172823629310345,87.09187293103449,98.03594316810343,4.265163139655173
28,650,240,130,85,67.79123008695652,2.2200277204347825,87.28363339130435,98.41198189130436,4.28043231478261
29,650,190,140,85,67.76874932142859,2.2212865307142864,87.35196803571428,98.5067660714286,4.284299076071429
30,650,190,140,85,68.87690536036035,2.3295371981981985,84.19796261261259,103.61256833333331,4.674722440090091
31,650,190,140,85,68.8564442410714,2.302982276785714,83.14068714285712,100.97467869642855,4.558130754464286
32,650,190,140,85,68.89485567567566,2.2992722387387396,82.80481263063068,100.31508061261259,4.531344503153153
33,650,190,140,85,68.90446767857142,2.295495463392857,82.6942192142857,100.10959830357145,4.522327900446429
34,700,190,140,100,68.90974220338987,2.2944019620339,82.65517115254237,100.04316886101694,4.519503072542372
35,700,190,140,100,68.45572207627119,2.262882808474575,81.90651521186436,101.95602424152541,4.723079676271183
36,700,190,140,100,68.74379194915254,2.2727308228813556,81.61292576271184,100.27575472457626,4.650393688559323
37,700,190,140,100,68.74645392372881,2.2719328762711872,81.49628110169493,100.04826745762712,4.639723075
38,700,190,140,100,68.78628055084745,2.2725277533898316,81.46106775423726,99.93977766949148,4.635227542372884
39,700,210,135,105,68.7900679,2.272532193666667,81.44693078666666,99.92345306666665,4.634514321999999
40,700,210,135,105,68.36559608333336,2.2317914633333333,82.29267114166666,99.88294327499997,4.552471565416667
41,700,210,135,105,68.53077145833335,2.2453036504166675,82.5090594166667,99.85671901666669,4.552535695416666
42,700,210,135,105,68.5332625,2.2455343741666676,82.55223706666666,99.8789565,4.553047465833334
43,700,210,135,105,68.55197174999999,2.2467414525,82.56202478750001,99.865695875,4.552728344166665
44,690,230,135,110,68.55431249586775,2.2469184297520655,82.56319026776858,99.86539580991739,4.552729990082643
45,690,230,135,110,68.22941704918031,2.213926471721312,83.20379976229506,100.27843624180328,4.440278264344264
46,690,230,135,110,68.39602314049586,2.226922411570248,83.34335686363636,100.02989833057848,4.430159068181817
47,690,230,135,110,68.3999666393443,2.2267465479508206,83.36589956967214,100.01814907786887,4.429263520491803
48,690,230,135,110,68.41878198347106,2.227880291735538,83.36971454545453,100.00053789256198,4.428763061983472
49,680,240,130,100,68.42131778000001,2.2280047993333327,83.36921173333333,99.99879558333335,4.428699206666668
50,680,240,130,100,68.30489715,2.214529384166666,84.73118635416668,96.32986116666665,4.250923829166667
51,680,240,130,100,68.08837391666664,2.2142115937500004,85.28066078750004,98.68992104166664,4.351146247083333
52,680,240,130,100,68.06203641666666,2.216247875416666,85.47459806666669,99.04353702083334,4.366122903750001
53,680,240,130,100,68.02917704166667,2.2169936154166665,85.53777899999999,99.16845335416664,4.371240840833334
54,675,250,130,95,68.0234786,2.2173875926666664,85.56097330000001,99.19387072000002,4.372304812333335
55,675,250,130,95,67.85627950000003,2.2008462162499995,86.53742474999999,96.78066743333332,4.230349967916668
56,675,250,130,95,67.71452020833334,2.20441129375,86.90787708333332,98.24804808333334,4.291800798333332
57,675,250,130,95,67.697468875,2.2058858937499997,87.03620945833333,98.41486289583335,4.298728699166666
58,675,250,130,95,67.67367925,2.2066421612499996,87.07800733333333,98.49526639583331,4.302000825833333
59,670,255,135,90,67.67009166666666,2.2069474893333325,87.09367816666669,98.5088895533333,4.302563762666667
60,670,255,135,90,67.60679479166669,2.199636992083333,87.79764475000002,96.77856005833337,4.191419745416666
61,670,255,135,90,67.4627715,2.2005909804166675,88.05656895833334,97.81642716666666,4.233658024999999
62,670,255,135,90,67.45257016666667,2.2016590483333327,88.14756375000003,97.90174133333333,4.237214865416666
63,670,255,135,90,67.42982500000002,2.2019968054166656,88.17707808333334,97.96265255833332,4.239617008333332
64,660,260,135,85,67.42719355462182,2.2021876610084026,88.18842215126048,97.96974194453783,4.239905361176469
65,660,260,135,85,67.40625431512603,2.19665126302521,88.82664722689077,95.96991817226888,4.118516493277312
66,660,260,135,85,67.21481239915967,2.196216436134453,89.0845531512605,97.24441178571436,4.1703338004201695
67,660,260,135,85,67.20631245798322,2.1976033407563014,89.17908567226894,97.32314662605042,4.173663382773109
68,660,260,135,85,67.17743172268911,2.1978815508403367,89.21018046218491,97.39246880672269,4.176326020588233
69,650,265,140,85,67.1746788739496,2.19810604672269,89.2224550386555,97.3981019831933,4.17655247394958
70,650,265,140,85,67.14383012605037,2.1923883285714276,89.39810901680673,97.7464851050421,4.119039971848737
71,650,265,140,85,67.18259588235294,2.1955460743697484,89.42756882352943,97.61545905462191,4.113124436134453
72,650,265,140,85,67.18707778151258,2.1954372159663875,89.43307726890755,97.60814450420163,4.112774376050419
73,650,265,140,85,67.19100849159662,2.1956783802521005,89.43378112605049,97.60783518487395,4.1128217941176475
74,640,250,140,90,67.19205147863248,2.195695843589744,89.43369032136751,97.60717227008543,4.112801071794871
75,640,250,140,90,67.63688485897435,2.231259367094016,88.02132166666667,101.67746094017095,4.283840425213675
76,640,250,140,90,67.80633095726498,2.220280773504274,87.48875965811968,99.64716270085472,4.201454737179489
77,640,250,140,90,67.84251777777777,2.218020595299145,87.29987098290596,99.3701312564102,4.1906727435897455
78,640,250,140,90,67.8741708034188,2.2163352923076918,87.23510452991452,99.23514440170943,4.185304647008545
79,630,240,135,95,67.88047845565217,2.2157679551304343,87.21024580869566,99.20509288695649,4.184115072347827
80,630,240,135,95,68.20104026086958,2.242638652173913,86.02123680434784,102.37065214782605,4.317279478260869
81,630,240,135,95,68.31509804347829,2.2356287234782606,85.57002767391303,100.66224067826089,4.2487119608695645
82,630,240,135,95,68.3435578695652,2.2340417939130433,85.40738173913046,100.33016726086957,4.235690842173913
83,630,240,135,95,68.36488241304347,2.2327153626086957,85.35059491304352,100.19969854347828,4.2304741378260875
84,620,230,135,100,68.36978307017542,2.2322470287719303,85.32871218947368,100.16290756140354,4.229012766315789
85,620,230,135,100,68.68787632743366,2.260494349115045,84.1191903141593,103.4781749115044,4.34865991238938
86,620,230,135,100,68.76677864035086,2.254621026754386,83.63594515350879,101.55565416666663,4.271112959210527
87,620,230,135,100,68.79311446902655,2.253181281415929,83.45776256637171,101.08583017699117,4.252635991150441
88,620,230,135,100,68.80789539473683,2.2517610289473686,83.39354942982457,100.9216143859649,4.2460526464912265
89,610,220,130,105,68.81199540540538,2.2512286030630624,83.36869886486485,100.86773228828822,4.243904166666666
90,610,220,130,105,69.12789348214288,2.2811384665178576,82.10412035714285,103.68844619642859,4.362012332589285
91,610,220,130,105,69.15026518018014,2.2746168166666663,81.62327411711706,102.00520372072077,4.294333137387386
92,610,220,130,105,69.17017116071428,2.273642434375,81.45000733928573,101.52212187500001,4.275286029017857
93,610,220,130,105,69.17660130630632,2.2722457009009003,81.38682243243238,101.35399112612615,4.268461500000001
94,610,220,130,105,69.17913875000002,2.271752881696428,81.36238233035712,101.29351781249999,4.266033749999998
95,610,220,130,105,69.18052378378374,2.2714782328828838,81.35268339639632,101.26837256756764,4.265016852702706
96,610,220,130,105,69.18095210714287,2.2713605223214293,81.34860808035717,101.25816526785714,4.264605424553572
97,610,220,130,105,69.18119889189188,2.271303455855856,81.34687774774768,101.25367013513517,4.264423813513515
98,610,220,130,105,69.18126968750002,2.2712775151785705,81.34611837053573,101.2517485267857,4.264345945535713
99,690,245,132,108,69.18130488429749,2.2712655393388426,81.34579107438013,101.25087287603307,4.264311114380165
100,690,245,132,108,68.08085164634146,2.175452274390245,83.67861825203252,96.23005313008129,4.228232260162602
101,690,245,132,108,68.145419446281,2.2044936735537184,84.53788409090909,98.78086468595039,4.337652363636365
102,690,245,132,108,68.09041567479677,2.2063160601626017,84.81589963414633,99.25486883739838,4.356479012195122
103,690,245,132,108,68.08574245454548,2.2100833966942153,84.9066879338843,99.39122206611569,4.3625259202479345
